_id,name,bic,isin,kurz,min,max,Negativní scénář (růstová míra %),Neutrální scénář (růstová míra %),Pozitivní scénář (růstová míra %)
65d74ebd108ec9dc4eb3d611,"HEUREKA 5,25/25",BDAHEUFI,CZ0003523920,97.5,92.01,98,-2.1,0.9,6.42
65d74ebd108ec9dc4eb3d612,"TRIGEMA REF5,10/25",BDCTRIRE,CZ0003529554,95.5,92,97.5,-4.05,-1.2,4.34
65d74ebd108ec9dc4eb3d613,SAB FINANCE,BAASABFI,CZ0009009940,1060,1020,1090,-5.15,0.16,2.47
65d74ebd108ec9dc4eb3d614,HB REAVIS VAR/25,BDBHBREB,CZ0003541245,98,98,104,-5.04,-4.33,-0.78
65d74ebd108ec9dc4eb3d615,"JTEF CZKII 5,25/25",BDAJTEII,CZ0003518649,97.5,91.5,97.5,-1.53,2.1,5.01
65d74ebd108ec9dc4eb3d616,J&T BANKA 10% PERP,BDAPODBA,CZ0003704249,104.5,102,109,-3.03,0.4,2.02
65d74ebd108ec9dc4eb3d617,"TRIGEMA REF8,75/28",BDETRIRE,CZ0003550709,104.99,100,105,-2.19,-0.55,3.42
65d74ebd108ec9dc4eb3d618,"3MFUND MSI 5,70/26",BDAMFUND,CZ0003533069,95,90,95,-2.3,2.5,5.85
65d74ebd108ec9dc4eb3d619,"JTEF CZKVI 8,50/26",BDAJTENH,CZ0003546871,104,99.5,104,-2.22,-0.18,2.86
65d74ebd108ec9dc4eb3d61a,"EPH 8,00/27",BDEEPHFI,CZ0003542102,104.5,100,104.5,1.16,2.87,3.32
65d74ebd108ec9dc4eb3d61b,"FIDUR.NMV. 8,60/28",BDBFIDNE,CZ0003556441,104.49,100,104.49,0.6,2.55,3.11
65d74ebd108ec9dc4eb3d61c,"J&TEF CZ V 8,50/27",BDAJTENG,CZ0003543092,104.49,100,104.5,1.2,3.18,3.65
65d74ebd108ec9dc4eb3d61d,"ALPHA Q. 5,25/26",BDBALPQU,CZ0000001375,94,90,94,1.41,3.35,6.42
65d74ebd108ec9dc4eb3d61e,"JTSEC F. 1 8,25/28",BDAJTSCZ,CZ0003552929,104.95,99.99,105,1.85,4.39,5.19
65d74ebd108ec9dc4eb3d61f,"JTGF XIII. 8,25/25",BDAJTGLT,CZ0003541237,100.99,99,103,0.07,1.27,0.05
65d74ebd108ec9dc4eb3d620,"JTGF XV. 8,125/28",BDAJTGLU,CZ0003550378,103,99.99,104,0.23,0.03,0.87
65d74ebd108ec9dc4eb3d621,"JTGF XI. 4,90/26",BDAJTGLS,CZ0003533077,95.5,90.51,95.5,0.9,1.5,4.7
65d74ebd108ec9dc4eb3d622,COLTCZ VAR/27,BDACZGCE,CZ0003530776,100.25,99,104,-4.54,-0.9,0.07
65d74ebd108ec9dc4eb3d623,"DR. MAX 8,50/28",BDADRMAF,CZ0003556177,105.5,102.5,106,0.96,2.43,3.75
65d74ebd108ec9dc4eb3d624,"NATLAND R. 5,47/24",BDAPRVRE,CZ0003521643,99.05,95.05,99.05,1.33,3.29,3.7
65d74ebd108ec9dc4eb3d625,"FRAT.FUNDS 5,25/26",BDAFRAFS,CZ0000001367,93.5,90.4,94,-2.54,1.13,5.52
65d74ebd108ec9dc4eb3d626,"SAZKA GR. 5,20/24",BDASAZGR,CZ0003522930,98,96,99,-2.8,-0.76,1.62
65d74ebd108ec9dc4eb3d627,"JTPEG F.CZ 8,00/28",BDAJTPFI,CZ0003556094,103.49,99.99,103.49,2.31,3.58,4.41
65d74ebd108ec9dc4eb3d628,"J&T BANKA 7,50/26",BDJPODBA,XS2705065188,101.5,100,101.5,1.48,1.95,-0.56
65d74ebd108ec9dc4eb3d629,JUVENTUS F.C.,BAAJUV,IT0005572778,58,58,58.6,1.14,0.92,2.41
65d74ebd108ec9dc4eb3d62a,"ST.DLUHOP. 5,50/28",BHXSTDL,CZ0001006696,107.4,107.4,107.4,-0.29,-0.17,-1.28
65d74ebd108ec9dc4eb3d62b,EQUA BANK VAR/27,,CZ0003704595,100,100,100,-2.2,-1.53,1.91
65d74ebd108ec9dc4eb3d62c,"FINEP B.Z. 3,95/26",BDBFINBA,CZ0003531105,100,100,100,-0.5,-1.58,-2.45
65d74ebd108ec9dc4eb3d62d,"RSBC INV. 4,716/24",BDARSBIN,CZ0003521692,100,100,100,-2.35,-1.3,-0.79
65d74ebd108ec9dc4eb3d62e,"ST.DLUHOP. 1,00/26",BETSTDL,CZ0001004469,96.19,96.19,96.19,-0.18,-0.82,-0.73
65d74ebd108ec9dc4eb3d62f,"ST.DLUHOP. 1,75/32",BHLSTDL,CZ0001006233,99.17,99.17,99.17,-0.04,-0.05,-1.72
65d74ebd108ec9dc4eb3d630,ST.DLUHOP. VAR/43,BIFSTDL,CZ0001007041,99.71,99.71,99.71,1.39,-0.34,0.31
